gene,score
GSK3B,0.0006701692104913806
SLC2A2,0.0006641019362140414
SREBF1,0.0006592603995774621
KRAS,0.0006542784979527797
ACSS1,0.0006503037449963296
GFPT2,0.0006488924472361307
MGAM2,0.0006410834776008758
SLC1A5,0.0006361003400699938
GNPDA1,0.0006350609480063939
AKR1B10,0.0006316279987708615
SDHA,0.000630720972599383
KHK,0.0006305757225195395
PRKN,0.0006286678829480461
PMM2,0.0006249713582534405
GLB1,0.0006213325697079569
GNPDA2,0.0006210170196626862
GLS,0.0006195835865182007
BCL2L1,0.0006187992277061989
RPS6KB1,0.000616862902259926
ATP5F1A,0.0006165361749437876
PMM1,0.0006164616023590687
CPT1A,0.0006147141782052706
ALDH18A1,0.0006134248895916675
GLS2,0.0006123678559852668
LCT,0.0006102637111016064
GAPDHS,0.000607308058798987
STK11,0.0006052352827797533
SMAD3,0.0006046629013922837
ALB,0.0006038154737678015
PDHB,0.0006038061292102433
SLC16A1,0.0006028887132450021
GCKR,0.0006015450192968456
SHMT2,0.0006002251704681981
GNPNAT1,0.0005995578435712246
HSP90AB1,0.0005991024468540667
GAA,0.000597949399848664
VDAC3,0.0005968484223479809
BAX,0.0005957466244125574
GOT2,0.0005953658665569593
PPIF,0.0005933603391015499
DNM1L,0.0005930565561428011
HSP90AA1,0.0005912310456072279
CCK,0.0005876159562683706
SDHB,0.0005860509566410849
DLAT,0.000585666020237925
FCSK,0.0005856539172067616
SCO2,0.0005851497035932365
DLD,0.0005843066874736164
GANC,0.0005773599964395015
MAVS,0.0005731255390430545
SUCLG1,0.0005673960701610908
HSPA5,0.0005662157891040833
SHMT1,0.0005658118742883588
RAB1A,0.0005656828440500093
BRCC3,0.000565129950121388
HSPA4,0.0005649850036151516
METTL3,0.0005632556995072031
EEF2,0.000563107316105026
GART,0.0005611212935038774
ENO4,0.0005583271846841906
SOD2,0.0005551765542026652
MED8,0.0005549158630509517
HAND1,0.00054927558484539
ZNF211,0.0005469397721072708
MLXIP,0.0005463452951682883
HSPA8,0.0005460628906189778
TUFM,0.0005436912668976197
ATP5F1B,0.0005392145470949783
LDHAL6A,0.0005341850087510734
DLST,0.0005330271386568467
GLUL,0.0005325991674929839
PCK2,0.0005322992872372842
LDHAL6B,0.0005322927930686733
